MonID,MonName,Grade,UniqueSkill,Type,Info,WeaponType,AtkType,KitingType,Mag,Reload,HP,Atk,AtkRate,Speed,Sight,Range,Critical,Accuracy,Reaction,Detection
30101,다비,4,0,2,,2,0,1,30,2.5,252,15,0.4,4.5,11,2,0.2,40,9,7
30102,UJS,3,0,1,,1,0,0,20,2,142,21,0.8,3.5,9,3.5,0.2,70,8,5
30103,Mole,3,0,1,,1,0,0,20,2,134,23,0.8,3.5,9,3.5,0.2,70,8,5
30104,Cord,3,0,2,,2,0,1,30,2.5,264,14,0.6,4.5,11,2,0.2,40,9,7
30105,소환,3,0,3,,3,1,0,5,3.5,128,26,0.2,2.5,13,4.5,0.2,75,8,3
30106,나아악타,4,0,1,,1,0,0,30,2,155,21,0.8,3.5,9,3.5,0.2,70,8,5
30107,기이리인,3,0,3,,3,1,0,4,4,118,29,0.2,2,13,5,0.2,75,9,7
30108,바아악쥐,3,0,4,,4,0,0,50,2,142,16,0.9,3.5,12,4,0.2,75,9,6
30109,차아암새,3,0,1,,1,0,0,30,2,175,22,0.8,3,9,3.5,0.2,70,8,5
30110,모오오기,3,0,2,,2,0,1,6,3.5,265,15,0.9,4,11,2,0.2,40,9,7
30111,블루,5,0,2,,2,0,1,7,2.5,275,15,0.5,4.5,12,2,0.2,45,9,7
30112,애시드,3,0,2,,2,0,1,7,3,277,17,0.5,5,12,2,0.2,45,9,8
30113,캣니스,3,0,2,,2,0,1,7,2.5,276,16,0.5,4.5,12,2,0.2,45,9,8
30114,랍,3,0,2,,2,0,1,7,3,278,18,0.5,4,12,2,0.2,45,9,8
30115,요르,4,0,4,,4,0,0,35,2,184,12,0.8,3.5,12,4,0.2,75,9,8
30116,로한,5,0,1,,1,0,0,35,2.5,175,16,0.5,4.5,10,4.5,0.2,75,9,6
30117,소라리,3,0,2,,2,0,1,8,3.5,295,14,0.4,5,12,2.5,0.2,45,10,8
30118,Bric,3,0,4,,4,0,0,40,3,165,12,0.8,4,14,4,0.2,80,9,7
30119,Dane,3,0,1,,1,0,0,25,2,194,18,0.5,4,10,4.5,0.2,75,9,6
30120,Cona,4,0,1,,1,0,0,30,2.3,182,17,0.5,4.3,10,4.5,0.2,80,9,6
30121,백만점짜리,5,0,2,,2,0,1,8,2.5,345,16,0.8,4.5,12,2.4,0.2,40,10,7
30122,Hoodcoat,3,0,3,,3,1,0,5,3.5,154,29,0.2,3,14,4.5,0.3,75,9,4
30123,Mangnani,3,0,3,,3,1,0,4,4,142,32,0.3,2.5,14,4.5,0.2,75,9,4
30124,Watson,4,0,3,,3,1,0,6,3,162,28,0.2,3,14,4.5,0.2,80,9,4
30125,Amelia,3,0,3,,3,1,0,5,3.5,148,29,0.2,2.5,14,4.5,0.3,80,9,4
30126,George,3,0,2,,2,0,1,9,4,359,18,0.5,4.5,15,2.5,0.2,45,10,8
30127,SAME,4,0,3,,3,1,0,6,3.5,145,31,0.3,3.5,17,4.8,0.3,85,9,5
30128,Neri,5,0,4,,4,0,0,30,2.5,175,16,0.6,4,17,4.5,0.2,80,11,8
30129,벨,3,0,1,,1,0,0,25,2.5,195,26,0.8,4,16,4,0.3,80,9,7
30130,무명,4,0,1,,1,0,0,40,3,198,23,0.8,4,16,4,0.3,80,9,6
